Cosmetic Products Regulation, Annex II - Prohibited Substances
Note: Group entries are split in different rows.
Export date: 10/10/2024 21:22:23
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Name"	"EC Number"	"CAS"	"Molecular formula"	"Expressed As"	"Product type, body parts"	"Maximum Threshold"	"Restriction(s)"	"Notes"	
"2,4,5-Trimethylaniline"	"205-282-0"	"137-17-7"	"1158"	"2,4,5-Trimethylaniline"	"205-282-0"	"137-17-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,4,5,7-Tetraiodofluorescein disodium salt"	"240-474-8"	"16423-68-0"	"1337"	"2,4,5,7-Tetraiodofluorescein disodium salt"	"240-474-8"	"16423-68-0"	""	""	"Hair dye products"	"0 %"	""	""	
"2,3-Naphthalenediol"	"202-156-7"	"92-44-4"	"1213"	"2,3-Naphthalenediol"	"202-156-7"	"92-44-4"	""	""	"Hair dye products"	"0 %"	""	""	
"2,3-Epoxypropyltrimethylammonium chloride"	"221-221-0"	"3033-77-0"	"1473"	"2,3-Epoxypropyltrimethylammonium chloride"	"221-221-0"	"3033-77-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,3-Epoxypropyl o-tolyl ether"	"218-645-3"	"2210-79-9"	"1042"	"2,3-Epoxypropyl o-tolyl ether"	"218-645-3"	"2210-79-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,3-Epoxypropyl methacrylate"	"203-441-9"	"106-91-2"	"1593"	"2,3-Epoxypropyl methacrylate"	"203-441-9"	"106-91-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,3-Epoxypropan-1-ol"	"209-128-3"	"556-52-5"	"660"	"2,3-Epoxypropan-1-ol"	"209-128-3"	"556-52-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,3-Dinitrotoluene"	"210-013-5"	"602-01-7"	"690"	"2,3-Dinitrotoluene"	"210-013-5"	"602-01-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,3-Dihydro-2,2-dimethyl-6-[(4-(phenylazo)-1-naphthalenyl)azo]-1H-pyrimidine"	"224-087-1"	"4197-25-5"	"1265"	"2,3-Dihydro-2,2-dimethyl-6-[(4-(phenylazo)-1-naphthalenyl)azo]-1H-pyrimidine"	"224-087-1"	"4197-25-5"	""	""	"Hair dye products"	"0 %"	""	""	
"2,3-Dichloropropene"	"201-153-8"	"78-88-6"	"1102"	"2,3-Dichloropropene"	"201-153-8"	"78-88-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,3-Dichloro-2-methylbutane"	"827-520-8"	"507-45-9"	"36"	"2,3-Dichloro-2-methylbutane"	""	"507-45-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,3-Dibromopropan-l-ol"	"202-480-9"	"96-13-9"	"647"	"2,3-Dibromopropan-l-ol"	"202-480-9"	"96-13-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,3,7,8-Tetrachlorodibenzo-p-dioxin"	"217-122-7"	"1746-01-6"	"367"	"2,3,7,8-Tetrachlorodibenzo-p-dioxin"	"217-122-7"	"1746-01-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,3,4-Trichlorobut-1-ene"	"219-397-9"	"2431-50-7"	"1051"	"2,3,4-Trichlorobut-1-ene"	"219-397-9"	"2431-50-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,2-Dimethylpropan-1-ol,tribromo derivative"	"253-057-0"	"36483-57-5"	"1700"	"2,2-Dimethylpropan-1-ol,tribromo derivative"	"253-057-0"	"36483-57-5"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"2,2-Dibromo-2-nitroethanol"	"412-380-9"	"69094-18-4"	"1090"	"2,2-Dibromo-2-nitroethanol"	"412-380-9"	"69094-18-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,2-Bis(bromomethyl)propane-1,3-diol"	"221-967-7"	"3296-90-0"	"1665"	"2,2-Bis(bromomethyl)propane-1,3-diol"	"221-967-7"	"3296-90-0"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 March 2022"	
"2,2-[Cyclohexylidenebis[(2-methyl-4,1-phenylene)azo]]bis[4-cyclohexylphenol]"	"229-754-0"	"6706-82-7"	"1352"	"2,2-[Cyclohexylidenebis[(2-methyl-4,1-phenylene)azo]]bis[4-cyclohexylphenol]"	"229-754-0"	"6706-82-7"	""	""	"Hair dye products"	"0 %"	""	""	
"2,2,6-Trimethyl-4-piperidyl benzoate"	"-"	"500-34-5"	"51"	"2,2,6-Trimethyl-4-piperidyl benzoate"	""	"500-34-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,2,2-Trichloroethane-1,1-diol"	"206-117-5"	"302-17-0"	"77"	"2,2,2-Trichloroethane-1,1-diol"	"206-117-5"	"302-17-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,2,2-Tribromoethanol"	"200-903-1"	"75-80-9"	"326"	"2,2,2-Tribromoethanol"	"200-903-1"	"75-80-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,2'-Oxydiethanol"	"203-872-2"	"111-46-6"	"1370"	"2,2&#39;-Oxydiethanol"	"203-872-2"	"111-46-6"	""	""	"All cosmetic products"	"0 %"	""	"for traces level, see Annex III"	
"2,2'-Methylenediphenyl diisocyanate"	"219-799-4"	"2536-05-2"	"1533"	"2,2&#39;-Methylenediphenyl diisocyanate"	"219-799-4"	"2536-05-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,2'-Bioxirane"	"215-979-1"	"1464-53-5"	"662"	"2,2&#39;-Bioxirane"	"215-979-1"	"1464-53-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)-3-oxobutyramide]"	"225-822-9"	"5102-83-0"	"1351"	"2,2&#39;-[(3,3&#39;-Dichloro[1,1&#39;-biphenyl]-4,4&#39;-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)-3-oxobutyramide]"	"225-822-9"	"5102-83-0"	""	""	"Hair dye products"	"0 %"	""	""	
"2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[3-oxo-N-phenylbutanamide]"	"228-787-8"	"6358-85-6"	"1263"	"2,2&#39;-[(3,3&#39;-Dichloro[1,1&#39;-biphenyl]-4,4&#39;-diyl)bis(azo)]bis[3-oxo-N-phenylbutanamide]"	"228-787-8"	"6358-85-6"	""	""	"Hair dye products"	"0 %"	""	""	
"2,2'-(Nitrosoimino)bisethanol"	"214-237-4"	"1116-54-7"	"410"	"2,2&#39;-(Nitrosoimino)bisethanol"	"214-237-4"	"1116-54-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,2'-(1,2-Ethenediyl)bis[5-((4-ethoxyphenyl)azo]benzenesulfonic acid)"	"233-779-2"	"10359-84-9"	"1264"	"2,2&#39;-(1,2-Ethenediyl)bis[5-((4-ethoxyphenyl)azo]benzenesulfonic acid)"	""	"10359-84-9"	""	""	"Hair dye products"	"0 %"	""	""	
"2,2'-(1,2-Ethenediyl)bis(5-((4-ethoxyphenyl)azo)benzenesulfonic acid), disodium salt"	"220-698-2"	"2870-32-8"	"1264"	"2,2&#39;-(1,2-Ethenediyl)bis(5-((4-ethoxyphenyl)azo)benzenesulfonic acid), disodium salt"	"220-698-2"	"2870-32-8"	""	""	"Hair dye products"	"0 %"	""	""	
"2,2'-((3-Chloro-4-((2,6-dichloro-4-nitrophenyl)azo)phenyl)imino)bisethanol"	"245-604-7"	"23355-64-8"	"1260"	"2,2&#39;-((3-Chloro-4-((2,6-dichloro-4-nitrophenyl)azo)phenyl)imino)bisethanol"	"245-604-7"	"23355-64-8"	""	""	"Hair dye products"	"0 %"	""	""	
"2,2'-((3,3',5,5'-Tetramethyl-(1,1'-biphenyl)-4,4'-diyl)-bis(oxymethylene))-bis-oxirane"	"413-900-7"	"85954-11-6"	"1390"	"2,2&#39;-((3,3&#39;,5,5&#39;-Tetramethyl-(1,1&#39;-biphenyl)-4,4&#39;-diyl)-bis(oxymethylene))-bis-oxirane"	"413-900-7"	"85954-11-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"2',4',5',7'-Tetraiodofluorescein, aluminum salt"	"235-440-4"	"12227-78-0"	"1337"	"2&#39;,4&#39;,5&#39;,7&#39;-Tetraiodofluorescein, aluminum salt"	"235-440-4"	"12227-78-0"	""	""	"Hair dye products"	"0 %"	""	""	
"2',4',5',7'-Tetraiodofluorescein"	"240-046-0"	"15905-32-5"	"1337"	"2&#39;,4&#39;,5&#39;,7&#39;-Tetraiodofluorescein"	"240-046-0"	"15905-32-5"	""	""	"Hair dye products"	"0 %"	""	""	
"11-α-Hydroxypregn-4-ene-3,20-dione"	"201-306-9"	"80-75-1"	"385"	"11-α-Hydroxypregn-4-ene-3,20-dione"	"201-306-9"	"80-75-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Vinylimidazole"	"214-012-0"	"1072-63-5"	"1622"	"1-Vinylimidazole"	"214-012-0"	"1072-63-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Vinyl-2-pyrrolidone"	"201-800-4"	"88-12-0"	"1113"	"1-Vinyl-2-pyrrolidone"	"201-800-4"	"88-12-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Naphthylamine"	"205-138-7"	"134-32-7"	"242"	"1-Naphthylamine"	"205-138-7"	"134-32-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Methyl-3-nitro-1-nitrosoguanidine"	"200-730-1"	"70-25-7"	"702"	"1-Methyl-3-nitro-1-nitrosoguanidine"	"200-730-1"	"70-25-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Methyl-2,4,5-trihydroxybenzene"	"214-390-7"	"1124-09-0"	"1244"	"1-Methyl-2,4,5-trihydroxybenzene"	"214-390-7"	"1124-09-0"	""	""	"Hair dye products"	"0 %"	""	""	
"1-Methoxy-2,5-diaminobenzene"	"226-161-9"	"5307-02-8"	"377"	"1-Methoxy-2,5-diaminobenzene"	"226-161-9"	"5307-02-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Methoxy-2,4-diaminobenzene"	"210-406-1"	"615-05-4"	"376"	"1-Methoxy-2,4-diaminobenzene"	"210-406-1"	"615-05-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Hydroxy-4-(p-toluidino)anthraquinone"	"201-353-5"	"81-48-1"	"1363"	"1-Hydroxy-4-(p-toluidino)anthraquinone"	"201-353-5"	"81-48-1"	""	""	"Hair dye products"	"0 %"	""	""	
"1-Hydroxy-2,4-diaminobenzene"	"202-459-4"	"95-86-3"	"1338"	"1-Hydroxy-2,4-diaminobenzene"	"202-459-4"	"95-86-3"	""	""	"Hair dye products"	"0 %"	""	""	
"1-Ethyl-1-methylpyrrolidinium bromide"	"418-200-5"	"69227-51-6"	"1091"	"1-Ethyl-1-methylpyrrolidinium bromide"	"418-200-5"	"69227-51-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Ethyl-1-methylmorpholinium bromide"	"418-250-8"	"65756-41-4"	"1084"	"1-Ethyl-1-methylmorpholinium bromide"	"418-250-8"	"65756-41-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Dimethylaminomethyl-1-methylpropyl benzoate"	"211-411-1"	"644-26-8"	"50"	"1-Dimethylaminomethyl-1-methylpropyl benzoate"	"211-411-1"	"644-26-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Cyclopropyl-6,7-difluoro-1,4-dihydro-4-oxoquinoline-3-carboxylic acid"	"413-760-7"	"93107-30-3"	"1392"	"1-Cyclopropyl-6,7-difluoro-1,4-dihydro-4-oxoquinoline-3-carboxylic acid"	"413-760-7"	"93107-30-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Chloro-4-nitrobenzene"	"202-809-6"	"100-00-5"	"1179"	"1-Chloro-4-nitrobenzene"	"202-809-6"	"100-00-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Chloro-2,3-epoxypropane"	"203-439-8"	"106-89-8"	"657"	"1-Chloro-2,3-epoxypropane"	"203-439-8"	"106-89-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Butyl-3-(N-crotonoylsulphanilyl)urea"	"-"	"52964-42-8"	"108"	"1-Butyl-3-(N-crotonoylsulphanilyl)urea"	""	"52964-42-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Bromopropane"	"203-445-0"	"106-94-5"	"1139"	"1-Bromopropane"	"203-445-0"	"106-94-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Bromo-3,4,5-trifluorobenzene"	"418-480-9"	"138526-69-9"	"1017"	"1-Bromo-3,4,5-trifluorobenzene"	"418-480-9"	"138526-69-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Bromo-2-methylpropyl propionate"	"422-900-6"	"158894-67-8"	"1495"	"1-Bromo-2-methylpropyl propionate"	"422-900-6"	"158894-67-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-Amino-4-[[4-[(dimethylamino)methyl]phenyl]amino]anthraquinone"	"235-398-7"	"12217-43-5"	"1278"	"1-Amino-4-[[4-[(dimethylamino)methyl]phenyl]amino]anthraquinone"	"235-398-7"	"12217-43-5"	""	""	"Hair dye products"	"0 %"	""	""	
"1-Amino-4-(methylamino)-9,10-anthracenedione"	"214-944-8"	"1220-94-6"	"1283"	"1-Amino-4-(methylamino)-9,10-anthracenedione"	"214-944-8"	"1220-94-6"	""	""	"Hair dye products"	"0 %"	""	""	
"1-Amino-4-((4-((dimethylamino)methyl)phenyl)amino)anthraquinone monohydrochloride"	"267-677-4"	"67905-56-0"	"1278"	"1-Amino-4-((4-((dimethylamino)methyl)phenyl)amino)anthraquinone monohydrochloride"	"267-677-4"	"67905-56-0"	""	""	"Hair dye products"	"0 %"	""	""	
"1-[(3-Aminopropyl)amino]-4-(methylamino)anthraquinone"	"244-938-0"	"22366-99-0"	"1303"	"1-[(3-Aminopropyl)amino]-4-(methylamino)anthraquinone"	"244-938-0"	"22366-99-0"	""	""	"Hair dye products"	"0 %"	""	""	
"1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol"	"220-562-2"	"2814-77-9"	"1345"	"1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol"	"220-562-2"	"2814-77-9"	""	""	"Hair dye products"	"0 %"	""	""	
"1-(4-Methoxyphenyl)-1-penten-3-one"	"203-190-5"	"104-27-8"	"444"	"1-(4-Methoxyphenyl)-1-penten-3-one"	"203-190-5"	"104-27-8"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"1-(4-Chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl) pentan-3-ol"	"403-640-2"	"107534-96-3"	"1189"	"1-(4-Chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl) pentan-3-ol"	"403-640-2"	"107534-96-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-(2-Amino-5-chlorophenyl)-2,2,2-trifluoro-1,1-ethanediol, hydrochloride"	"433-580-2"	"214353-17-0"	"1474"	"1-(2-Amino-5-chlorophenyl)-2,2,2-trifluoro-1,1-ethanediol, hydrochloride"	"433-580-2"	"214353-17-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-(1-Naphthylmethyl)quinolinium chloride"	"406-220-7"	"65322-65-8"	"1196"	"1-(1-Naphthylmethyl)quinolinium chloride"	"406-220-7"	"65322-65-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"1-((4-Phenylazo)phenylazo)-2-naphthol"	"201-638-4"	"85-86-9"	"1353"	"1-((4-Phenylazo)phenylazo)-2-naphthol"	"201-638-4"	"85-86-9"	""	""	"Hair dye products"	"0 %"	""	""	
"1-((3-Aminopropyl)amino)anthraquinone, monohydrochloride"	"306-778-0"	"97404-14-3"	"1239"	"1-((3-Aminopropyl)amino)anthraquinone, monohydrochloride"	"306-778-0"	"97404-14-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,7-Naphthalenediol"	"209-383-0"	"575-38-2"	"1228"	"1,7-Naphthalenediol"	"209-383-0"	"575-38-2"	""	""	"Hair dye products"	"0 %"	""	""	
"1,4-Dihydroxybenzene"	"204-617-8"	"123-31-9"	"1339"	"1,4-Dihydroxybenzene"	"204-617-8"	"123-31-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted except for entry 14 in Annex III"	""	
"1,4-Dihydroxy-5,8-bis[(2-hydroxyethyl)amino]anthraquinone"	"221-666-0"	"3179-90-6"	"1302"	"1,4-Dihydroxy-5,8-bis[(2-hydroxyethyl)amino]anthraquinone"	"221-666-0"	"3179-90-6"	""	""	"Hair dye products"	"0 %"	""	""	
"1,4-Dichlorobut-2-ene"	"212-121-8"	"764-41-0"	"654"	"1,4-Dichlorobut-2-ene"	"212-121-8"	"764-41-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,4-Dichlorobenzene"	"203-400-5"	"106-46-7"	"1173"	"1,4-Dichlorobenzene"	"203-400-5"	"106-46-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,4-Diamino-2-methoxy-9,10-anthracenedione"	"220-703-8"	"2872-48-2"	"1301"	"1,4-Diamino-2-methoxy-9,10-anthracenedione"	"220-703-8"	"2872-48-2"	""	""	"Hair dye products"	"0 %"	""	""	
"1,4-bis(p-Tolylamino)anthraquinone"	"204-909-5"	"128-80-3"	"1364"	"1,4-bis(p-Tolylamino)anthraquinone"	"204-909-5"	"128-80-3"	""	""	"Hair dye products"	"0 %"	""	""	
"1,4,5,8-Tetraaminoanthraquinone"	"219-603-7"	"2475-45-8"	"700"	"1,4,5,8-Tetraaminoanthraquinone"	"219-603-7"	"2475-45-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,3-Propanesultone"	"214-317-9"	"1120-71-4"	"751"	"1,3-Propanesultone"	"214-317-9"	"1120-71-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,3-Isobenzofurandione, reaction products with methylqui-noline and quinoline"	"232-318-2"	"8003-22-3"	"1358"	"1,3-Isobenzofurandione, reaction products with methylqui-noline and quinoline"	"232-318-2"	"8003-22-3"	""	""	"Hair dye products"	"0 %"	""	""	
"1,3-Diphenylguanidine"	"203-002-1"	"102-06-7"	"993"	"1,3-Diphenylguanidine"	"203-002-1"	"102-06-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,3-Dimethylpentylamine"	"203-296-1"	"105-41-9"	"30"	"1,3-Dimethylpentylamine"	"203-296-1"	"105-41-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,3-Dichloropropan-2-ol"	"202-491-9"	"96-23-1"	"648"	"1,3-Dichloropropan-2-ol"	"202-491-9"	"96-23-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,3-bis(Vinylsulfonylacetamido)propane"	"428-350-3"	"93629-90-4"	"1202"	"1,3-bis(Vinylsulfonylacetamido)propane"	"428-350-3"	"93629-90-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,3-Benzenediamine, 4-methyl-6-(phenylazo)-"	"225-736-1"	"5042-54-6"	"1294"	"1,3-Benzenediamine, 4-methyl-6-(phenylazo)-"	""	"5042-54-6"	""	""	"Hair dye products"	"0 %"	""	""	
"1,3-Benzenediamine, 4-methyl-6-(2-phenyldiazenyl)-, hydrochloride (1:1)"	"224-654-3"	"4438-16-8"	"1294"	"1,3-Benzenediamine, 4-methyl-6-(2-phenyldiazenyl)-, hydrochloride (1:1)"	"224-654-3"	"4438-16-8"	""	""	"Hair dye products"	"0 %"	""	""	
"1,3,5-tris-[(2S and 2R)-2,3-Epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione"	"423-400-0"	"59653-74-6"	"760"	"1,3,5-tris-[(2S and 2R)-2,3-Epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione"	"423-400-0"	"59653-74-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,3,5-Tris(oxiranylmethyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione"	"219-514-3"	"2451-62-9"	"741"	"1,3,5-Tris(oxiranylmethyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione"	"219-514-3"	"2451-62-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,3,5-Trihydroxybenzene"	"203-611-2"	"108-73-6"	"1253"	"1,3,5-Trihydroxybenzene"	"203-611-2"	"108-73-6"	""	""	"Hair dye products"	"0 %"	""	""	
"1,3,5-Triazine-2,4,6-triamine"	"203-615-4"	"108-78-1"	"1711"	"1,3,5-Triazine-2,4,6-triamine"	"203-615-4"	"108-78-1"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"1,2-Epoxybutane"	"203-438-2"	"106-88-7"	"400"	"1,2-Epoxybutane"	"203-438-2"	"106-88-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Epoxy-4-epoxyethylcyclohexane"	"203-437-7"	"106-87-6"	"1469"	"1,2-Epoxy-4-epoxyethylcyclohexane"	"203-437-7"	"106-87-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Epoxy-3-phenoxypropane"	"204-557-2"	"122-60-1"	"659"	"1,2-Epoxy-3-phenoxypropane"	"204-557-2"	"122-60-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Dihydroxyanthraquinone"	"200-782-5"	"72-48-0"	"1361"	"1,2-Dihydroxyanthraquinone"	"200-782-5"	"72-48-0"	""	""	"Hair dye products"	"0 %"	""	""	
"1,2-Diethoxyethane"	"211-076-1"	"629-14-1"	"1472"	"1,2-Diethoxyethane"	"211-076-1"	"629-14-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Dichloropropane"	"201-152-2"	"78-87-5"	"1625"	"1,2-Dichloropropane"	"201-152-2"	"78-87-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Dichloroethane"	"203-458-1"	"107-06-2"	"125"	"1,2-Dichloroethane"	"203-458-1"	"107-06-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Dibromoethane"	"203-444-5"	"106-93-4"	"651"	"1,2-Dibromoethane"	"203-444-5"	"106-93-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Dibromo-3-chloropropane"	"202-479-3"	"96-12-8"	"646"	"1,2-Dibromo-3-chloropropane"	"202-479-3"	"96-12-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-bis(2-Methoxyethoxy)ethane"	"203-977-3"	"112-49-2"	"1147"	"1,2-bis(2-Methoxyethoxy)ethane"	"203-977-3"	"112-49-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Benzodiazepine"	"-"	"12794-10-4"	"49"	"1,2-Benzodiazepine"	""	"12794-10-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Benzenedicarboxylic acid, dipentylester, branched and linear"	"284-032-2"	"84777-06-0"	"1151"	"1,2-Benzenedicarboxylic acid, dipentylester, branched and linear"	"284-032-2"	"84777-06-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear"	"271-093-5"	"68515-50-4"	"1583"	"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear"	"271-093-5"	"68515-50-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Benzenedicarboxylic acid, di-C7-11, branched and linear alkyl esters"	"271-084-6"	"68515-42-4"	"1153"	"1,2-Benzenedicarboxylic acid, di-C7-11, branched and linear alkyl esters"	"271-084-6"	"68515-42-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkylesters, C7-rich"	"276-158-1"	"71888-89-6"	"1485"	"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkylesters, C7-rich"	"276-158-1"	"71888-89-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2,5,6,9,10-Hexabromocyclododecane"	"221-695-9"	"3194-55-6"	"1546"	"1,2,5,6,9,10-Hexabromocyclododecane"	"221-695-9"	"3194-55-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2,4-Trihydroxybenzene"	"208-575-1"	"533-73-3"	"1642"	"1,2,4-Trihydroxybenzene"	"208-575-1"	"533-73-3"	""	""	"Hair and eyelash dye products"	"0 %"	""	"From 3 September 2021 hair and eyelash dye products containing those substances shall not be placed on the Union market. From 3 June 2022 hair and eyelash dye products containing those substances shall not be made available on the Union market"	
"1,2,4-Triazole"	"206-022-9"	"288-88-0"	"1056"	"1,2,4-Triazole"	"206-022-9"	"288-88-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2,4-Benzenetriacetate"	"210-327-2"	"613-03-6"	"1254"	"1,2,4-Benzenetriacetate"	"210-327-2"	"613-03-6"	""	""	"Hair dye products"	"0 %"	""	""	
"1,2,3-Trichloropropane"	"202-486-1"	"96-18-4"	"1141"	"1,2,3-Trichloropropane"	"202-486-1"	"96-18-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,2,3,4,5,6-Hexachlorocyclohexane"	"200-401-2"	"58-89-9"	"195"	"1,2,3,4,5,6-Hexachlorocyclohexane"	"200-401-2"	"58-89-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,1-Bis(dimethylaminomethyl)propyl benzoate"	"213-512-6"	"963-07-5"	"143"	"1,1-Bis(dimethylaminomethyl)propyl benzoate"	"213-512-6"	"963-07-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,1,3,3,5-Pentamethyl-4,6-dinitroindane"	"204-149-4"	"116-66-5"	"421"	"1,1,3,3,5-Pentamethyl-4,6-dinitroindane"	"204-149-4"	"116-66-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"1,1,2-Trichloroethane"	"201-166-9"	"79-00-5"	"1169"	"1,1,2-Trichloroethane"	"201-166-9"	"79-00-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"(µ-((7,7'-Iminobis(4-hydroxy-3-((2-hydroxy-5-(N-methylsulphamoyl) phenyl)azo)naphthalene-2-sulphonato))(6-)))dicuprate(2-), disodium salt"	"253-441-8"	"37279-54-2"	"1268"	"(µ-((7,7&#39;-Iminobis(4-hydroxy-3-((2-hydroxy-5-(N-methylsulphamoyl) phenyl)azo)naphthalene-2-sulphonato))(6-)))dicuprate(2-), disodium salt"	"253-441-8"	"37279-54-2"	""	""	"Hair dye products"	"0 %"	""	""	
"(µ-((7,7'-Iminobis(4-hydroxy-3-((2-hydroxy-5-(N-methylsulphamoyl) phenyl)azo)naphthalene-2-sulphonato))(6-)))dicuprate(2-)"	"-"	"-"	"1268"	"(µ-((7,7&#39;-Iminobis(4-hydroxy-3-((2-hydroxy-5-(N-methylsulphamoyl) phenyl)azo)naphthalene-2-sulphonato))(6-)))dicuprate(2-)"	""	""	""	""	"Hair dye products"	"0 %"	""	""	
"(Z)-2-Methoxymino-2-[2-(tritylamino)thiazol-4-yl]acetic acid"	"431-520-1"	"64485-90-1"	"1489"	"(Z)-2-Methoxymino-2-[2-(tritylamino)thiazol-4-yl]acetic acid"	"431-520-1"	"64485-90-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"(S)-2,3-Dihydro-1H-indole-carboxylic acid"	"410-860-2"	"79815-20-6"	"1104"	"(S)-2,3-Dihydro-1H-indole-carboxylic acid"	"410-860-2"	"79815-20-6"	""	""	"All cosmetic products"	"0 %"	""	""	
